Gender,Hometown,Live,Greek_,HrsWork,ParntsMar,GPA,SitArea,SkipClass,TextSpd,HrsStudy,CheatEx,Organztns,Relimport,RelPref,RelServs,TimesPray,DiffRel_,Abortion,Euthanasia,SameMarr,Weight,Height,IdlWt,IdlHt,ViewWt,WtTry,SelfAttr,MakeFrnds,ImportFeat,PeopKiss,LongRels,AgeMarry,v1st_child,Children,Siblings,HrsExer,MinsExer,SmokeCig,HrsSleep,ExerReason,FitnMemb,FakeID,DaysAlco,SmokedMJ,LegalMJ_,DrnksUsl,BingeDrk,Virgin,SexNoRel,CheatdSO,CheatTel,SexPartns,UsePtotn
Female,Rural       ,Dorm               ,No ,None      ,Married            ,3.77,Front ,0,200,58,No ,3,Very important  ,Protestant,4,30,No      ,No ,No ,No      ,104,55,99,55,Overweight ,Lose         ,Yes   ,Same gender    ,Sense of humor ,0,0,34,35,2,2,6.5,45,No ,8,Health        ,No ,No ,0,No ,Yes,0,0,Yes,No ,No ,Yes,0,NA
Female,Suburban    ,Dorm               ,No ,None      ,Married            ,3.16,Front ,0,500,40,No ,1,Fairly Important,Catholic  ,0,7,Yes     ,No ,Yes,No      ,95,58,100,63,Underweight,Gain         ,No    ,Opposite gender,Easy to talk to,6,3,25,27,3,1,4,75,No ,6.5,Health        ,Yes,No ,3,Yes,No ,5 or 6,1,Yes,No ,No ,Yes,0,No 
Female,Suburban    ,Dorm               ,No ,None      ,Married            ,3.96,Middle,0,300,5,No ,2,Very important  ,Catholic  ,4,5,Not sure,Yes,Yes,Yes     ,105,58,95,62,About right,Lose         ,Unsure,Opposite gender,Personality    ,10,2,23,25,3,1,6,60,No ,8,Weight control,Yes,Yes,4,Yes,Yes,>8    ,10,No ,No ,No ,Yes,3,No 
Female,Suburban    ,Dorm               ,Yes,None      ,Married            ,2.85,Middle,1,200,5,No ,2,Not important   ,Jewish    ,2,0,Yes     ,Yes,Yes,Yes     ,96,58,90,62,About right,Lose         ,Yes   ,Opposite gender,Personality    ,30,3,25,26,2,2,0,0,Yes,7,Don't exercise,No ,No ,7,Yes,Yes,3 or 4,1,No ,Yes,Yes,Yes,6,No 
Female,A small town,Apartment          ,No ,None      ,Other or Don't Know,3.64,Middle,2,430,3,Yes,0,Not important   ,Other     ,0,1,Yes     ,Yes,Yes,No      ,87,58,95,64,About right,Nothing      ,No    ,No preference  ,NA,3,1,23,24,2,5,1.5,30,No ,6,Health        ,No ,Yes,2,No ,Yes,1 or 2,0,No ,Yes,No ,Yes,4,No 
Female,A small town,Dorm               ,No ,None      ,Married            ,2.93,Front ,0,0,15,No ,2,Not important   ,Other     ,0,0,Yes     ,Yes,No ,Yes     ,98,58,95,58,About right,Lose         ,Yes   ,Opposite gender,Trust          ,5,3,25,28,3,1,8,90,No ,9,Get muscular  ,Yes,No ,0,No ,No ,0,0,No ,No ,No ,Yes,1,Yes
Female,Suburban    ,Dorm               ,No ,None      ,Married            ,3.91,Middle,0,400,14,No ,1,Not important   ,Jewish    ,0,0,Yes     ,Yes,Yes,Not sure,100,58,100,64,About right,Stay the same,Yes   ,No preference  ,Sense of humor ,14,0,26,30,2,1,1,45,No ,7,Reduce stress ,Yes,No ,12,No ,Yes,3 or 4,0,Yes,No ,No ,Yes,0,Yes
Female,Suburban    ,Dorm               ,No ,None      ,Married            ,3.6,Front ,0,300,25,No ,4,Very important  ,Protestant,5,9,Yes     ,No ,Yes,Yes     ,90,58,95,63,Underweight,Gain         ,No    ,No preference  ,Easy to talk to,1,1,26,30,1,0,8,60,No ,7,Health        ,Yes,No ,0,No ,No ,0,0,Yes,No ,No ,No ,0,Yes
Female,A big city  ,Dorm               ,No ,11 to 20  ,Divorced           ,2.3,Middle,0,500,30,No ,1,Not important   ,Catholic  ,0,1,Yes     ,No ,No ,No      ,125,59,105,63,Overweight ,Lose         ,Yes   ,No preference  ,Easy to talk to,15,1,32,34,1,2,2,45,No ,7,Weight control,Yes,No ,15,Yes,No ,5 or 6,3,No ,Yes,No ,Yes,6,Yes
Female,Suburban    ,Apartment          ,No ,11 to 20  ,Married            ,2.7,Front ,0,300,10,No ,3,Not important   ,Atheist   ,0,0,Yes     ,Yes,Yes,No      ,110,59,100,65,Overweight ,Lose         ,Yes   ,Opposite gender,Sense of humor ,20,4,25,25,4,3,12,120,No ,8,Get muscular  ,Yes,No ,4,No ,Yes,5 or 6,1,No ,Yes,Yes,Yes,10,No 
Female,Rural       ,Apartment          ,No ,>20       ,Married            ,2.5,Back  ,0,450,25,No ,2,Very important  ,Protestant,5,7,Not sure,Yes,No ,Not sure,115,59,105,62,About right,Stay the same,Yes   ,Opposite gender,Personality    ,10,2,23,25,3,1,2,30,No ,6,Reduce stress ,Yes,No ,8,No ,No ,5 or 6,8,No ,No ,Yes,Yes,1,Yes
Female,Suburban    ,Dorm               ,No ,None      ,Married            ,3,Middle,0,150,15,Yes,8,Very important  ,Jewish    ,1,7,Yes     ,Yes,Yes,Yes     ,125,60,115,63,Overweight ,Lose         ,Yes   ,No preference  ,Trust          ,15,2,26,28,2,1,14,120,No ,7,Enjoyment     ,Yes,No ,10,No ,Yes,3 or 4,0,Yes,No ,No ,Yes,0,Yes
Male  ,A small town,Apartment          ,No ,11 to 20  ,Married            ,3.5,Middle,0,250,10,No ,1,Fairly Important,Protestant,0,0,Yes     ,Yes,Yes,Yes     ,150,60,150,61,About right,Nothing      ,Yes   ,No preference  ,Sense of humor ,12,2,28,29,4,3,3,15,No ,5,Enjoyment     ,No ,Yes,25,Yes,Yes,5 or 6,15,No ,Yes,No ,Yes,5,No 
